"评论编号","评论用户","评论微博","评论内容"
"14045","知-足-先-生","1134","是抽鞭子还是抽金手镯[二哈]"
"14046","喊狗咬你哟","1134","是抽鞭子还是抽金手镯[二哈]"
"14047","陕西消防粉丝后援会","1134","[握手]"
"14048","minnie507","1134","警察蜀黍抽奖送点啥礼物？七天包吃住旅游吗？"
"14049","黑化肥会发灰2005","1134","[二哈]送银手镯吗"
"14050","黑化肥会发灰2005","1134","[二哈][二哈]"
"14051","_小怪兽得","1134","哇！[喵喵]"
"14052","loving_plants--yo--","1134","哇，这个厉害了[祈祷][祈祷]希望能中鸭[允悲][作揖][作揖]"
"14053","禧王爷","1134","[微笑]"
"14054","慕潇清","1134","新的一年希望你们更好呀"
"14055","西瓜树上的龙猫","1134","我来了"
"14056","茜妮没有歌剧院","1134","可别是玫瑰金啊……"
"14057","灵子的小狐狸","1134","来吧"
"14058","_赵snow_","1134","Hhhh"
"14059","Ange小星星","1134","[污]"
"14060","Ange小星星","1134","[污]"
"14061","刘芝兰","1134","转发微博"
"14062","MINT_BA","1134","愿新的一年国泰民安[good]"
"14063","瑟爹大美女","1134","我猜礼物是普法读物安全常识犯罪案例大全什么的"
"14064","不喝可乐不吃冰","1134","玫瑰金手铐？想要[好喜欢]"
"14065","夏夏夏远啦","1134","奖金是玫瑰金手镯吗？"
"14066","v时光是个旧美人v","1134","奖金是玫瑰金手镯吗？"
"14067","谢婉吟","1134","盘起来"
"14068","大连户口身份证","1134","硬核抽奖啦[doge][话筒]还等啥？快来参加！[偷笑]"
"14069","CA2my","1134","先转转看看能不能安排上[doge][doge]"
"14070","鬼姬船长","1134","[并不简单][并不简单]"
"14071","王亚扁","1134","平安"
"14072","wu吴梧武_午舞悟","1134","请眼熟我，黑幕我，靴靴[米奇比心]"
"14073","我家狗子兔子一起炸","1134","没有别的原因，就是感觉转发这个概率比较大可以圆梦[奇异博士][奇异博士][奇异博士]"
"14074","黑暗料理界大神","1134","选我我超乖！[羞嗒嗒]"
"14075","镜子里藏着裂缝","1134","这个锦鲤份量很足"
"14076","大炮他妈","1134","中奖回家过大年[太开心][太开心]"
"14077","咸鱼也想拥有姓名","1134","新款玫瑰金手镯，附赠钥匙的那种[二哈]"
"14078","咸鱼也想拥有姓名","1134","新款玫瑰金手镯，附赠钥匙的那种[二哈]"
"14079","逗笼主锐sir","1134","新款玫瑰金手镯，附赠钥匙的那种[二哈]"
"14080","七七七七七七七谏_","1134","嗯？礼包是啥？"
"14081","肉肉想吃果冻","1134","秃头值班的战友可以拥有嘛[喵喵][喵喵][喵喵]"
"14082","人生如若初见TT","1134","[赞]"
"14083","王二鱼很很很虎","1134","感觉转了警察叔叔的微博，就会庇护呢~"
"14084","来自极地的海豹","1134","感觉转了警察叔叔的微博，就会庇护呢~"
"14085","我便死相依","1134","转转看，万一呢？玫瑰金就算了[吃瓜][吃瓜]"
"14086","六元的虎牙笑","1134","我很好奇会是什么？[允悲][允悲][允悲]"
"14087","换呢称换昵称","1134","精彩超乎想象[哈哈]"
"14088","墨明奇妙的Kiki在台灣","1134","警鯉保平安！抽！"
"14089","进击的肥崽","1134","啥？"
"14090","Bignose青年","1134","[威武][威武][威武]"
"14091","Lzzzzzzzzz","1134","[喵喵][喵喵][喵喵]"
"14092","懒懒小云","1134","我好奇抽啥好东东"
"14093","柒条鱼-T64","1134","卷花"
"14094","胡先森啊啊","1134","玫瑰金来一过[doge][doge]"
"14095","一个好朝气好运气的新的一年","1134","再接再厉🙋"
"14096","脆皮鸭与百合可以兼得","1134","[并不简单]"
"14097","今天腻腻zhong奖了吗","1134","所以是精致手铐一副嘛"
"14098","黄一水_","1134","所以是精致手铐一副嘛"
"14099","故人今安","1134","我想中奖"
"14100","中国大毛头","1134","[拳头]"
"14101","泰州消防支队","1134","[偷笑]"
"14102","呆呆傻傻的雷雷","1134","[心]"
"14103","Crystalmoonshine","1134","[嘻嘻]转发啦"
"14104","書生心行誌","1134","试试，希望能有机会看到这个礼包有多精彩！"
"14105","心灵爪巧","1134","请问，中奖的话，公安部发言人会召开新闻发布会念我的名字吗？"
"14106","憨厚的心有猛虎","1134","请问，中奖的话，公安部发言人会召开新闻发布会念我的名字吗？"
"14107","2019爱李依旧呀","1134","不要深度过滤[允悲][允悲]"
"14108","憨厚的心有猛虎","1134","转发微博"
"14109","憨厚的心有猛虎","1134","转发微博"
"14110","BBaymin","1134","我是锦鲤[doge]"
"14111","番茄叔叔","1134","[good]"
"14112","我爱卤肉饭1234","1134","抽奖抽奖，中，耶耶耶，1234最棒啦"
"14113","爪子滴温柔","1134","先转再说[哈哈]"
"14114","唐楒","1134","来啦[给你小心心]"
"14115","求爱不得死肥宅","1134","[haha][笑而不语][haha]"
"14116","林常乐DTC","1134","中了会不会被公安部读出？[允悲]"
"14117","通化张小咖","1134","中了会不会被公安部读出？[允悲]"
"14118","陌悠竹鸢","1134","是，为了生存[doge]"
"14119","广州老猪","1134","会举行隆重的新闻发布会并逐个念出获奖者名单吗？[喵喵][二哈]"
"14120","酒神精神与实证主义梦想家","1134","会举行隆重的新闻发布会并逐个念出获奖者名单吗？[喵喵][二哈]"
"14121","宣城公安在线","1134","继玫瑰金手铐后，又见玫瑰金奖杯[嘻嘻]"
"14122","摩托车上长大的男孩","1134","锦（警）鲤[锦鲤][锦鲤][锦鲤]"
"14123","你的娜比_Nana","1134","嘿嘿凑热闹"
"14124","哎呀我就是陈晓的小瑶妹","1134","我要参与硬核的!!"
"14125","jack稼曦","1134","经典金属银的配色手镯 给你上世纪八十年代电影的感觉[doge]"
"14126","满船清梦压星河yooo","1134","[吃瓜][吃瓜]再不中我要改性别了哈"
"14127","神通侯炖猪蹄","1134","[doge]求内幕一下"
"14128","想睡松野一松也喜欢苏沐秋的龙蛋","1134","我以为抽奖杯[允悲][允悲][允悲]"
"14129","LPY不想改昵称","1134","什么！！！你竟然干过了共青团中央！！！不得了[二哈][二哈]"
"14130","孑孓寒风罗上田","1134","抽什么?真的是玫瑰金吗？?那可以稍微期待一下。。。"
"14131","网卡卡小尾巴","1134","转发微博"
"14132","LH小倩-M","1134","转发微博"
"14133","元气宇宙","1134","哈哈哈哈哈哈"
"14134","岛田莱茵哈特","1134","我也要中一个国家级大奖"
"14135","彦-页-","1134","送玫瑰金吗？[笑而不语]"
"14136","2Richard999","1134","第一名 厉害了"
"14137","想吃烤冷面烤冷面烤冷面烤冷面","1134","[馋嘴]"
"14138","论骨","1134","抽我[阴险][阴险]"
"14139","米粒酱nim","1134","你成功引起了我的注意，奖品是什么？警察叔叔。"
"14140","妄想芝士","1134","什么奖品。。"
"14141","武宪平2018","1134","本老大爷一心直想要个红包！"
"14142","怎么就记不起要改的名字呢","1134","哇[偷笑]安排[酷][握手][酷]"
"14143","芋头哥儿","1134","转发微博"
"14144","简爱的幸福因为有你","1134","期待，希望好运从此刻开始！"
"14145","玉帝驾临","1134","转发了，锦鲤来了吗"
"14146","武宪平2018","1134","本老大爷一心想要个红包！"
"14147","py_一个魅友","1134","转发扩散"
"14148","py_一个魅友","1134","转发扩散"
"14149","0o樱桃肉丸子o0","1134","果然硬核！！🙋"
"14150","森叮小叮","1134","可以在新闻上念名字那种吗"
"14151","爱西瓜爱南瓜","1134","我想艾特我家的一位警官叔叔，可是不知道他的微博[允悲][允悲]"
"14152","初夏19760312","1134","转发微博"
"14153","柏桠悦梓期","1134","哇哦，转转，硬核[馋嘴]"
"14154","热血老年阿耿","1134","哇哦，转转，硬核[馋嘴]"
"14155","现在开始要克服困难改变自己","1134","来吧，来吧，相约大礼包[带着微博去旅行]"
"14156","我了个去去就来的","1134","恭喜"
"14157","喷嚏总是打不停","1134","来拉低来了[笑cry]"
"14158","哈烟思海","1134","抽到就是赚到[憧憬]"
"14159","浩_hao89先森","1134","[心]"
"14160","絜诺喵喵","1134","锦鲤呀"
"14161","大麦就是我呀","1134","棒棒哒"
"14162","金米56","1134","棒棒哒"
"14163","笑笑也不行vs","1134","真好看[微笑]"
"14164","你突然对我说七里香这名字很美","1134","日常迷信"
"14165","荒木経惟Nobuyoshi","1134","我要玫瑰金手镯[doge]"
"14166","八九九五--","1134","耶、警察叔叔抽到我[米妮酷炫][米妮酷炫][米妮酷炫]"
"14167","青春要潇洒","1134","[锦鲤]"
"14168","一兄","1134","[锦鲤]"
"14169","朝潇雪","1134","告诉你哦。不抽到我我就哭哭……"
"14170","女友发烧了要趁热吃","1134","告诉你哦。不抽到我我就哭哭……"
"14171","杨Youly","1134","告诉你哦。不抽到我我就哭哭……"
"14172","檐一隐士","1134","转！发！微！博！"
"14173","小五丫丫","1134","转发微博"
"14174","大王叫我来作甚呀","1134","哇哇哇，警察叔叔抽奖啦"
"14175","叫我Liuy","1134","第一次从警察[列车员] 叔叔手里抢东西，莫名有点害怕"
"14176","顾椤依","1134","[锁住]了"
"14177","snow荆熙","1134","[笑cry][笑cry]"
"14178","纹缟鰕虎鱼","1134","抽我，抽我，我id很好念的[doge]"
"14179","学长阿王","1134","抽我，抽我，我id很好念的[doge]"
"14180","一只鹤鸣","1134","来啦"
"14181","脚踩旱冰鞋的吉吉","1134","[可爱][可爱]"
"14182","亽玍漫埗","1134","参与起来123。"
"14183","陳陳陳雨豪","1134","转发微博"
"14184","月下澈见","1134","转发微博"
"14185","叮叮的艾伦阿姨","1134","恭喜恭喜！"
"14186","喔哈哈哈喔吼吼吼吼","1134","[作揖][作揖][作揖]"
"14187","小粒粒G","1134","[笑而不语]"
"14188","卡不艾诺的棒棒糖","1134","恭喜恭喜[赞][赞] 另外   玫瑰金有吗？"
"14189","盛善心儿711","1134","(ง •̀_•́)ง警鲤报名啦～～～"
"14190","雁门关三木剑仙","1134","蜀黍抽我啊！！！让我好歹中一次啊。[憧憬][憧憬][憧憬]"
"14191","今天依旧是看不见我谦的一天","1134","警察叔叔，我不要玫瑰金实心手镯，我只想让官方点一次名[馋嘴]"
"14192","菠萝他哥丶","1134","玫瑰金？"
"14193","洛城旧客","1134","CHINA PD[鼓掌][鼓掌]"
"14194","韩左左","1134","CHINA PD[鼓掌][鼓掌]"
"14195","肥城艾弗森","1134","CHINA PD[鼓掌][鼓掌]"
"14196","缥缈牧云九州上","1134","请用力抽我，绝不报警[doge][doge][doge]"
"14197","荷青Hermione205","1134","我是小鱼[鱼]。"
"14198","于炀小哥哥撩粉吗","1134","转发微博"
"14199","岳老二0513","1134","送啥玫瑰金[费解][费解][二哈][二哈]"
"14200","沈阳sz1961sy","1134","在发！"
"14201","刘芸学姐是男生","1134","[坏笑][坏笑]"
"14202","吃不吃可爱多惹","1134","现在都这么亲民了啊"
"14203","兜兜_Ber","1134","送玫瑰金手镯吗[笑cry][笑cry][笑cry]"
"14204","兜兜_Ber","1134","送玫瑰金手镯吗[笑cry][笑cry][笑cry]"
"14205","功不唐捐因果法则","1134","[鲜花][鲜花][鲜花]"
"14206","鹿漫漫兮0306","1134","我来了"
"14207","王坤昭-Z","1134","我来了"
"14208","能否爱上了我","1134","要是中奖了，你会抓我吗？"
"14209","一只傲娇受的故事","1134","[哈哈]可以的"
"14210","霰雨貓","1134","[哈哈]可以的"
"14211","yusoof小杨叔叔","1134","官方硬核抽奖"
"14212","黄景瑜的小鱼仔","1134","来了[胜利] [胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利][胜利]"
"14213","ItAintGorgeous","1134","恭喜恭喜[doge][锦鲤]"
"14214","哀牢山的雪","1134","转发微博"
"14215","sweet-lychee易烊千玺-Jackson","1134","转发微博"
"14216","滠水双凤","1134","转发微博"
"14217","lu因为遇见你","1134","转发微博"
"14218","潘志鹏__","1134","转发微博"
"14219","高速路只为宋厂和官家而开","1134","哇哦[给你小心心][给你小心心][给你小心心]"
"14220","紫魂皛魄","1134","你这狗头很让我们担心奖品是那个呀...[二哈]"
"14221","昺秉","1134","哦吼"
"14222","準星儿","1134","管他是啥奖品，凑凑热闹，万一中了呢？！[嘻嘻][嘻嘻][嘻嘻]"
"14223","null_零度","1134","[喵喵]抽我"
"14224","仔仔萱是迷妹","1134","恭喜恭喜[偷乐]不过，这是要抽新款玫瑰金了嘛"
"14225","袁亮VIP","1134","大写的赞[强]"
"14226","名字不能太長像我這樣就可以啦","1134","抽免死金牌啦[挖鼻]"
"14227","雨之烛","1134","抽免死金牌啦[挖鼻]"
"14228","我爱说话我爱说话","1134","[兔子]"
"14229","紫水晶月光宝盒","1134","[兔子]"
"14230","王同学不知所措","1134","我试试[doge]"
"14231","阿消山东粉丝后援会","1134","你是以前那个打黑除害吗"
"14232","木子欣-思","1134","咦，我还以为会是团团第一呢[允悲][允悲][允悲]"
"14233","江氏粉","1134","被抽中会读ID吗[doge]"
"14234","无眉船长","1134","好好"
"14235","游水三文鱼","1134","恭喜。继续加油"
"14236","單隻蝴蝶_彬少","1134","不好意思我来了！玫瑰金[doge][doge][doge]"
"14237","昕星之火","1134","out了，玫瑰金是什么梗？[笑cry]"
"14238","YUAN安达","1134","笔芯[米奇比心]"
"14239","人就是个普通人","1134","转发拉低中奖率[喵喵]"
"14240","Ad單單只有一个丹","1134","en"
"14241","鄂S张鹏","1134","[二哈]这是一条拼人气中奖的也好[偷乐][偷乐]好期待能中奖"
"14242","Baymax国安人","1134","[鼓掌]"
"14243","动力设备","1134","锦鲤在此[锦鲤][锦鲤][锦鲤]"
"14244","我还是没有喝过长岛冰茶","1134","玫瑰金手铐哈哈哈"
"14245","VickyZ6218","1134","[赞]"
"14246","悦十一呀","1134","这……"
"14247","爱情就是这样的了","1134","转发微博"
"14248","眉涧心上","1134","虽然机会很小，当个分母也好[吃瓜]"
"14249","潭烟飞溶tan","1134","玫瑰金不用，其他的随意!谢谢啊[嘻嘻]"
"14250","草没味的小仙女","1134","有新闻发布会吗?想拥有姓名哈哈哈哈[憧憬]"
"14251","苏长毅爸","1134","我就想要一个台历[笑而不语]"
"14252","Kuailuo-","1134","[羞嗒嗒][羞嗒嗒]"
"14253","我是艾迪的老可爱","1134","真棒呀[红桃]️ 恭喜吖[给你小心心][给你小心心]"
"14254","麟禾麒然","1134","保平安"
"14255","曹某人成熟稳重","1134","[鲜花]"
"14256","萌萌旭小旭","1134","[笑cry][笑cry][笑cry][笑cry]感觉转了也中不了"
"14257","和平活火山","1134","我是警鲤[鲸鱼]"
"14258","伊始之风Go","1134","期待中奖ing"
"14259","云中的龙","1134","[羞嗒嗒][羞嗒嗒][羞嗒嗒]"
"14260","小尾巴023","1134","谢谢"
"14261","鋼鐡之翼","1134","打黑除四害[doge]"
"14262","清风飞羽","1134","玫瑰金就算了[笑cry]"
"14263","不子狸花猫","1134","[喵喵][doge]今日万一"
"14264","花枝丸麻酱","1134","警察叔叔不要开过滤啊，新粉会被筛[笑cry]"
"14265","花枝丸麻酱","1134","玫瑰金的大手镯吗[喵喵]"
"14266","Julie想去旅行","1134","[思考]会有啥"
"14267","Biblee_s","1134","看我。我多可爱。[馋嘴]"
"14268","A8Ruby酱","1134","我不要玫瑰金，我要金玫瑰可以么[坏笑][坏笑][坏笑]"
"14269","橙子呀小C","1134","转，任何抽奖不放过"
"14270","限定四年","1134","转发微博"
"14271","Drlee李教授","1134","转发微博"
"14272","Drlee李教授","1134","转发微博"
"14273","东北的西南·ElaineT杜莹","1134","中了念名字吗[挤眼]"
"14274","尤柚柚_","1134","哇哇哇"
"14275","蓝紫色喵星人不会吃鱼","1134","玫瑰金还是可以的[偷笑][偷笑][偷笑]"
"14276","知志青Leslie","1134","🙋"
"14277","Drlee李教授","1134","警方在线，低调点[doge]你都首位了，用不着C位了[允悲][允悲][允悲]"
"14278","蒲公英与风铃草","1134","那啥玫瑰金，应该没有吧[喵喵]"
"14279","阿拉希的铁匠","1134","爱我中国！"
"14280","粥粥粥粥闻闻","1134","转起来[太开心][太开心][太开心]，也许这次不一样"
"14281","百悦泽人","1134","送金奖杯啊！我要我要"
"14282","MIC家的小Soso","1134","[污]"
"14283","事一了","1134","转发"
"14284","寂寂莹语","1134","那啥，我也不求中奖。我就想问问我打不着车的时候能不能请警察哥哥哥和帅气的乘警哥哥帮忙送一程[允悲][允悲][允悲]"
"14285","Beckers","1134","[锦鲤]"
"14286","坏蛋丶","1134","中国威武"
"14287","蒙呆呆啊","1134","敢不敢让我中一次奖[泪]"
"14288","蒙呆呆啊","1134","敢不敢让我中一次奖[泪]"
"14289","两个轩辕","1134","中奖也能念微博名字吗？"
"14290","舟-旅途那么漫长","1134","礼包里有玫瑰金手镯么[喵喵]"
"14291","HMrDu","1134","这几天啥事没干尽抽奖了[doge]从没中过[允悲]"
"14292","chapter32","1134","[哆啦A梦吃惊][哆啦A梦吃惊][哆啦A梦吃惊]"
"14293","撩锥_","1134","哇哦"
"14294","梦梦宝贝dream","1134","祝贺[礼花]新年快乐"
"14295","__Aphasiac","1134","[doge][doge][doge]安排了"
"14296","Sherry离歌","1134","还没收到货警察蜀黍的礼物呢[doge]"
"14297","如七月兮的马甲","1134","好的[doge]"
"14298","一只柚子耶","1134","emmmm玫瑰金[doge]"
"14299","菜夹馍408","1134","来啦[羞嗒嗒]"
"14300","欢颜Dan","1134","来了[鼓掌][鼓掌]"
"14301","夕米鹿总是在刷屏","1134","我想要小米mix3[眼泪]"
"14302","水影大人霓虹","1134","我也要玫瑰金"
"14303","爱旅游的天线宝宝是飞机迷","1134","相当警[锦鲤][羞嗒嗒][羞嗒嗒][羞嗒嗒]"
"14304","爱锦鲤的猫先生","1134","随时接受我的艾特吧"
"14305","永遠嘚愚人","1134","硬核抽奖！"
"14306","白菜団子汤","1134","玫瑰金？"
"14307","甜梦lisa","1134","听说抽限量那什么……"
"14308","无良道僧","1134","[哈哈]"
"14309","噢西瓜大又圆","1134","转发"
"14310","摁扫","1134","[吃瓜]"
"14311","是啊董呀","1134","转🙊"
"14312","张起灵的爱人","1134","中了要直接念名字哦[哈哈]"
"14313","Y花狸宝宝Y","1134","这个要转！"
"14314","Mr_Mitry","1134","[爱你][爱你][爱你]中国警方加油。[赞][赞][赞]"
"14315","一只傲娇的小傲娇","1134","礼物我可以不要，就被官微点次名就可以[嘻嘻][嘻嘻][嘻嘻]"
"14316","吃醋少女_Y","1134","！"
"14317","杂食二狗子","1134","玫瑰金吗[doge]"
"14318","齐元若的小骗子","1134","[好喜欢][好喜欢][好喜欢]"
"14319","胡-高-潮","1134","银手镯警告[警告]️"
"14320","月赋心曲","1134","转起来[并不简单][并不简单][并不简单]"
"14321","jiro汪_一路向东","1134","确实硬核[good][good][good]"
"14322","肉多的余多肉","1134","确实硬核[good][good][good]"
"14323","一米凡光","1134","硬核抽奖[doge][doge][doge]"
"14324","闻道白云居","1134","有玫瑰金手铐吗[doge][doge][doge]"
"14325","光辉女郎是一只蚂蚁","1134","这个转一转[并不简单]"
"14326","丶婳墨清浅","1134","这个转一转[并不简单]"
"14327","青琳Katherine","1134","嘤嘤嘤"
"14328","Ash-Ron","1134","[偷乐]"
"14329","米小个呆","1134","十分好奇礼包内容[并不简单][并不简单][并不简单]"
"14330","朴亦圣","1134","玫瑰金太耀眼，来副纯金的就Ok了"
"14331","茶茶的玉春","1134","玫瑰金就不要了[doge]"
"14332","超能忍的锦鲤","1134","新年快乐"
"14333","大爷不帅大叔才帅","1134","[傻眼][傻眼][傻眼][傻眼][傻眼][傻眼]系统自动转发，请用普通过滤吧，以免过滤掉我哈哈哈哈哈"
"14334","王嘉尔的柠檬酱","1134","为警察叔叔点赞[good][good] 恭喜呀！"
"14335","承蒙时光不弃blbq","1134","转一个[给你小心心][给你小心心]"
"14336","青夜歌","1134","[求关注]"
"14337","靓崽or","1134","念出我的id吧[Aloha][Aloha][Aloha][Aloha]"
"14338","大杯珍珠奶茶半糖去冰","1134","抽我吧，明年局里面统计个人获奖情况，我才好填，荣获公安部奖励，这是多么幸福的事情。"
"14339","echo小玖","1134","嘻嘻[doge]"
"14340","东都北邙山长泽","1134","听说没有玫瑰金手镯还没有批量吗[笑而不语]"
"14341","社会主义追梦人","1134","万一呢万一呢万一呢，重要的是说三遍"
"14342","Ai_Zero","1134","精美礼包？会是什么呢？"
"14343","白龙豆","1134","精美礼包？会是什么呢？"
"14344","一本正经的狼皇","1134","转"
"14345","壹零萬年","1134","万一是我呢[doge]"
"14346","大杯珍珠奶茶半糖去冰","1134","万一是我呢[doge]"
"14347","我想我还是太年轻","1134","有丶东西"
"14348","平安巴南","1134","我就问一句，官方微博可以参加不？"
"14349","喜欢是淡淡的爱333","1134","50份，100分"
"14350","拖拖和右拐","1134","哈哈哈哈哈[允悲]"
"14351","椰汁草莓啾","1134","真硬核[doge]"
"14352","防弹并不防弹","1134","能不能中一次[允悲][允悲][允悲]"
"14353","应景儿Free","1134","都要玫瑰金…你们是想玩儿哪样？[笑cry][笑cry][笑cry]我就想知道礼包里都有啥！！！！"
"14354","奋进中的皮球","1134","一起乐"
"14355","兴_钮祜禄_桔子","1134","抽我[憧憬][憧憬][憧憬]关注你那么久了"
"14356","a折叠时光","1134","转发微博"
"14357","卖农夫的山泉水","1134","[爱你][爱你]"
"14358","不見雨滴涼","1134","人好少"
"14359","RAIN-STYLY","1134","还以为是个营销微博.......[笑而不语]"
"14360","极光下的蓝色","1134","还以为是个营销微博.......[笑而不语]"
"14361","dear草莓小丸子","1134","[嘻嘻]"
"14362","平安纳溪","1134","硬核[思考]"
"14363","-EZKI-","1134","好奇是啥[doge]玫瑰金吗"
"14364","祁艺清","1134","好奇是啥[doge]玫瑰金吗"
"14365","钟无盐LD","1134","好奇是啥[doge]玫瑰金吗"
"14366","Yo尐洁","1134","[锦鲤][锦鲤][锦鲤][锦鲤]"
"14367","信小呆233","1134","啊啊啊啊啊给央博和警察叔叔打call[太开心][太开心][太开心][haha][haha]"
"14368","TT风的季节","1134","我还以为看到小编了呢！[doge][doge]"
"14369","紫云青峰","1134","啊啊啊啊啊给央博和警察叔叔打call[太开心][太开心][太开心][太开心][太开心]"
"14370","我不中谁中","1134","恭喜恭喜[爱你][爱你]"
"14371","Asriel_W","1134","预感告诉我，我差不多该中一次奖了啊！[doge][doge][doge]"
"14372","嘘小点声噗","1134","还是比较期待在发布会上，读我的微博名[污]"
"14373","後悔無期80997","1134","还是比较期待在发布会上，读我的微博名[污]"
"14374","柳嘉衣的祖奶奶","1134","恭喜恭喜，[鼓掌][鼓掌][鼓掌]"
"14375","丁金今天抽到辉夜姬了吗","1134","我，我就想要那副玫瑰金的手铐，可以送我一副吗[污][污][污]"
"14376","贴膘","1134","有没有新出的玫瑰金"
"14377","大猪蹄子有喜啦","1134","转发微博"
"14378","爱玉狸奴","1134","排面！"
"14379","绝世傲娇意琦行","1134","[喵喵][喵喵]我:我想中个奖 微博:不  你不想。。"
"14380","乃伊拉一噶门组特","1134","礼包是什么？防爆盾警棍套装么？"
"14381","柳嘉衣的祖奶奶","1134","都是一家人就送我一份吧！[哈哈][哈哈][哈哈]"
"14382","我脾气真的超好呦","1134","期待礼品[doge]"
"14383","无敌战神孙悟空","1134","期待礼品[doge]"
"14384","為I向钱冲","1134","送给我这个忠诚粉丝把"
"14385","小麦克莫汉","1134","[嘻嘻][嘻嘻][嘻嘻]"
"14386","深爱曾经的你y","1134","是白金手镯吗[嘻嘻][嘻嘻][嘻嘻]"
"14387","遇见and倾心","1134","玫瑰金的话就算了[doge]"
"14388","L-咸鱼小姐","1134","[偷乐][偷乐][偷乐]"
"14389","中笑扬眉","1134","看我！看我！[泪][泪]"
"14390","是荔枝芒果桂圆松子呀","1134","只要不送我玫瑰金就行。"
"14391","BA_Arrow","1134","我靠我靠我靠，大哥的抽奖终于出现了！[奖杯][奖杯][奖杯][好喜欢][好喜欢][好喜欢]"
"14392","明天的昨天闯天涯","1134","我靠我靠我靠，大哥的抽奖终于出现了！[奖杯][奖杯][奖杯][好喜欢][好喜欢][好喜欢]"
"14393","终贪梦妄","1134","[喵喵][喵喵]"
